"","index","PC1","PC2","muni_i","muni_j","muni_i_name","muni_j_name"
"232",232,1.72209968644421,-0.156653384164966,"CO15047","CO85279","Aquitania","Recetor"
"233",233,-2.34866647056631,1.08005645642609,"CO15047","CO15660","Aquitania","San Eduardo"
"234",234,-1.68029489421412,0.412981726077846,"CO15047","CO15759","Aquitania","Sogamoso"
"235",235,-0.118684851751742,-0.312717610518928,"CO47053","CO47189","Aracataca","Ciénaga"
"236",236,-0.865099633387199,0.313375492729257,"CO47053","CO44090","Aracataca","Dibulla"
"237",237,-2.88503362200985,0.943569034555492,"CO47053","CO47268","Aracataca","El Retén"
"238",238,0.194004270661598,-0.629951102506948,"CO47053","CO47288","Aracataca","Fundación"
"239",239,-0.624606226775065,0.958186750234033,"CO47053","CO20570","Aracataca","Pueblo Bello"
"240",240,-1.78384292433415,0.766909145135085,"CO47053","CO47570","Aracataca","Puebloviejo"
"241",241,-1.51791381783529,0.507795316299012,"CO47053","CO47001","Aracataca","Santa Marta"
"242",242,2.98240047364195,-0.592422281340448,"CO17050","CO17272","Aranzazu","Filadelfia"
"243",243,1.96170276975012,-0.72673303410306,"CO17050","CO17388","Aranzazu","La Merced"
"244",244,2.04186974557388,-0.712084767281196,"CO17050","CO17446","Aranzazu","Marulanda"
"245",245,0.207019995626054,0.0326409315865624,"CO17050","CO17486","Aranzazu","Neira"
"246",246,-0.418962013303895,0.476407392369676,"CO17050","CO17653","Aranzazu","Salamina"
"247",247,0.0511649564824715,-0.596304234507452,"CO68051","CO68160","Aratoca","Cepitá"
"248",248,0.228460374857155,-0.613010767368907,"CO68051","CO68229","Aratoca","Curití"
"249",249,0.778293362720435,-0.495731487094284,"CO68051","CO68370","Aratoca","Jordán"
"250",250,-0.692023929133964,0.187299819983194,"CO68051","CO68418","Aratoca","Los Santos"
"251",251,1.69086115794976,-0.287158717697011,"CO68051","CO68547","Aratoca","Piedecuesta"
"252",252,3.17854458862475,-0.283453562866764,"CO81001","CO81065","Arauca","Arauquita"
"253",253,3.55147834717739,-0.275583800842515,"CO81001","CO81220","Arauca","Cravo Norte"
"254",254,3.24203007130746,0.144673506183546,"CO81001","CO81591","Arauca","Puerto Rondón"
"255",255,-0.849418562041068,0.0812291700263001,"CO81065","CO81300","Arauquita","Fortul"
"256",256,2.1790151730448,0.0522348410998192,"CO81065","CO81591","Arauquita","Puerto Rondón"
"257",257,1.32739563314018,1.09542343193057,"CO81065","CO81736","Arauquita","Saravena"
"258",258,0.325139847136822,-0.0329635940868644,"CO25053","CO11001","Arbeláez","Bogotá, D.C."
"259",259,2.59496916122191,-0.5045486173193,"CO25053","CO25290","Arbeláez","Fusagasugá"
"260",260,1.36983306512841,-0.371786594505743,"CO25053","CO73352","Arbeláez","Icononzo"
"261",261,1.7601943571052,-0.736645470556772,"CO25053","CO25524","Arbeláez","Pandi"
"262",262,1.77879764098998,-0.243152669394899,"CO25053","CO25535","Arbeláez","Pasca"
"263",263,-0.874075151586617,0.82576926252969,"CO25053","CO25649","Arbeláez","San Bernardo"
"264",264,-1.28584862416817,1.05028851665059,"CO52051","CO52110","Arboleda","Buesaco"
"265",265,-1.53630605557841,0.831066338286416,"CO52051","CO52687","Arboleda","San Lorenzo"
"266",266,-0.763838877674362,0.75149626779122,"CO52051","CO52694","Arboleda","San Pedro de Cartago"
"267",267,0.851022489162186,-0.527063155510357,"CO54051","CO54099","Arboledas","Bochalema"
"268",268,-0.829245253066487,0.583687908568968,"CO54051","CO54128","Arboledas","Cáchira"
"269",269,0.126096281858742,-0.559373327209849,"CO54051","CO54223","Arboledas","Cucutilla"
"270",270,1.11966737989233,-0.382822528808259,"CO54051","CO54239","Arboledas","Durania"
"271",271,0.337723307428107,0.0655363389714871,"CO54051","CO54660","Arboledas","Salazar"
"272",272,-0.247925022388206,0.366452768416772,"CO54051","CO68780","Arboledas","Suratá"
"273",273,-1.07978805196455,0.955634714815366,"CO05051","CO23090","Arboletes","Canalete"
"274",274,-0.517441624532282,1.10107873860687,"CO05051","CO23419","Arboletes","Los Córdobas"
"275",275,-2.26971776477309,1.63925219188572,"CO05051","CO23001","Arboletes","Montería"
"276",276,-0.432939099806589,0.585672996470731,"CO05051","CO05490","Arboletes","Necoclí"
"277",277,-2.15279773750813,1.09007821453936,"CO05051","CO05659","Arboletes","San Juan de Urabá"
"278",278,-1.01803420909571,1.28683299962579,"CO05051","CO05665","Arboletes","San Pedro de Urabá"
"279",279,1.96533230824751,-0.301428597113474,"CO15051","CO15232","Arcabuco","Chíquiza"
"280",280,2.76859903712379,-0.609738794086179,"CO15051","CO15204","Arcabuco","Cómbita"
"281",281,1.21840486348596,0.114696440664263,"CO15051","CO15293","Arcabuco","Gachantivá"
"282",282,1.5652312925741,-0.27766151624424,"CO15051","CO68298","Arcabuco","Gámbita"
"283",283,-0.290319673340319,-0.0281341300262556,"CO15051","CO15469","Arcabuco","Moniquirá"
"284",284,-0.171996422088059,-0.200313315311881,"CO15051","CO15476","Arcabuco","Motavita"
"285",285,0.646541814338265,0.0889286949985387,"CO13042","CO13458","Arenal","Montecristo"
"286",286,-2.31837246243586,-0.0818481557856589,"CO13042","CO13473","Arenal","Morales"
"287",287,-0.314128061624871,-1.22565897563308,"CO13042","CO13600","Arenal","Río Viejo"
"288",288,-0.28481244856638,0.844553871233755,"CO05055","CO05483","Argelia","Nariño"
"289",289,-2.42194893828782,0.882860145794399,"CO05055","CO17495","Argelia","Norcasia"
"290",290,1.54009247148455,-0.0409587082013352,"CO05055","CO17662","Argelia","Samaná"
"291",291,0.964552998815441,-0.376987341914501,"CO05055","CO05756","Argelia","Sonsón"
"292",292,2.74319925831077,0.695639451300242,"CO19050","CO19075","Argelia","Balboa"
"293",293,3.19341661743685,-0.00686913408736611,"CO19050","CO52250","Argelia","El Charco"
"294",294,2.87268486420849,-0.368081673700917,"CO19050","CO19256","Argelia","El Tambo"
"295",295,-0.148160231150136,1.64799086329139,"CO19050","CO19318","Argelia","Guapi"
"296",296,1.77981885442351,0.0282778958894739,"CO19050","CO19532","Argelia","Patía"
"297",297,0.00808467251355202,-1.07214978320063,"CO76054","CO76246","Argelia","El Cairo"
"298",298,-0.882694211152492,-1.32977455887579,"CO47058","CO20060","Ariguaní","Bosconia"
